official_label_ar,official_label_en,faculty_id,faculty_source_url,programs,bachelors,postgraduates,planner_supported,catalog_only,extraction_status,verification_notes
الاتصال والإعلام,communications&media,CM,https://kau.edu.sa/en/programs?faculty_code=CM,8,4,4,0,8,complete,Official central catalog and faculty filter reconciled.
الآداب و العلوم الإنسانية,Arts and Humanities,AH,https://kau.edu.sa/en/programs?faculty_code=AH,28,7,20,2,26,complete,Official central catalog and faculty filter reconciled.
الاعمال - رابغ,business-rabigh,RB,https://kau.edu.sa/en/programs?faculty_code=RB,3,3,0,0,3,complete,Official central catalog and faculty filter reconciled.
الاقتصاد والادارة,economics and administration,EA,https://kau.edu.sa/en/programs?faculty_code=EA,30,10,20,9,21,complete,Official central catalog and faculty filter reconciled.
التربية,education,ED,https://kau.edu.sa/en/programs?faculty_code=ED,4,0,4,0,4,complete,Official central catalog and faculty filter reconciled.
التطبيقية,APPLIED,AL,https://kau.edu.sa/en/programs?faculty_code=AL,8,0,0,0,8,complete,Official central catalog and faculty filter reconciled.
التمريض,nursing,NR,https://kau.edu.sa/en/programs?faculty_code=NR,3,0,3,0,3,complete,Official central catalog and faculty filter reconciled.
الحاسبات وتقنية المعلومات,computing & information tech.,IT,https://kau.edu.sa/en/programs?faculty_code=IT,12,4,8,2,10,complete,Official central catalog and faculty filter reconciled.
الحاسبات وتقنية المعلومات-رابغ,computing&inform.techn.-rabigh,RI,https://kau.edu.sa/en/programs?faculty_code=RI,3,3,0,0,3,complete,Official central catalog and faculty filter reconciled.
الحقوق,LAW,LA,https://kau.edu.sa/en/programs?faculty_code=LA,5,1,3,1,4,complete,Official central catalog and faculty filter reconciled.
الدراسات البحرية,maritime studies,MS,https://kau.edu.sa/en/programs?faculty_code=MS,5,4,1,3,2,complete,Official central catalog and faculty filter reconciled.
السنة التحضيرية,السنة التحضيرية,PR,https://kau.edu.sa/en/programs?faculty_code=PR,0,0,0,0,0,verified_non_degree_unit,The official filter returns no programs; Preparatory Year is retained as a non-degree unit.
السياحة,tourism,TU,https://kau.edu.sa/en/programs?faculty_code=TU,6,3,2,1,5,complete,Official central catalog and faculty filter reconciled.
الصيدلة,pharmacy,PH,https://kau.edu.sa/en/programs?faculty_code=PH,4,0,3,0,4,complete,Official central catalog and faculty filter reconciled.
الطب,medicine,MD,https://kau.edu.sa/en/programs?faculty_code=MD,1,1,0,1,0,complete,Official central catalog and faculty filter reconciled.
الطب- رابغ,medicine - rabigh,RM,https://kau.edu.sa/en/programs?faculty_code=RM,1,1,0,1,0,complete,Official central catalog and faculty filter reconciled.
العلوم,science,SC,https://kau.edu.sa/en/programs?faculty_code=SC,4,1,3,1,3,complete,Official central catalog and faculty filter reconciled.
العلوم البيئية,ENVIRONMENTAL SCIENCES,FE,https://kau.edu.sa/en/programs?faculty_code=FE,14,5,9,3,11,complete,Official central catalog and faculty filter reconciled.
العلوم الطبية التطبيقية,Applied Medica.Sciences,AM,https://kau.edu.sa/en/programs?faculty_code=AM,7,4,3,2,5,complete,Official central catalog and faculty filter reconciled.
العلوم الطبية التطبيقية- رابغ,Applied Medica.Sciences-rabigh,RA,https://kau.edu.sa/en/programs?faculty_code=RA,2,2,0,1,1,complete,Official central catalog and faculty filter reconciled.
العلوم و الآداب - رابغ,science&arts-rabigh,RS,https://kau.edu.sa/en/programs?faculty_code=RS,1,1,0,0,1,complete,Official central catalog and faculty filter reconciled.
العمارة والتخطيط,ARCHITECTURE AND PLANNING,AP,https://kau.edu.sa/en/programs?faculty_code=AP,4,2,2,1,3,complete,Official central catalog and faculty filter reconciled.
الهندسة,ENGINEERING,EN,https://kau.edu.sa/en/programs?faculty_code=EN,17,14,3,6,11,complete,Official central catalog and faculty filter reconciled.
الهندسة - رابغ,engineering-rabigh,RE,https://kau.edu.sa/en/programs?faculty_code=RE,6,6,0,3,3,complete,Official central catalog and faculty filter reconciled.
تصاميم البيئة,تصاميم البيئة,EV,https://kau.edu.sa/en/programs?faculty_code=EV,0,0,0,0,0,confirmed_legacy_alias,"The official dropdown retains this former faculty name; KAU confirms it was renamed Faculty of Architecture and Planning in 2020, so programs remain under AP rather than this legacy EV filter."
طب الأسنان,dentistry,DN,https://kau.edu.sa/en/programs?faculty_code=DN,6,0,6,0,6,complete,Official central catalog and faculty filter reconciled.
علوم الارض,علوم الارض,ER,https://kau.edu.sa/en/programs?faculty_code=ER,11,7,3,7,4,complete,Official central catalog and faculty filter reconciled.
علوم الإنسان والتصاميم,HUMAN SCIENCES AND DESIGN,HD,https://kau.edu.sa/en/programs?faculty_code=HD,12,6,6,3,9,complete,Official central catalog and faculty filter reconciled.
علوم البحار,marine sciences,MR,https://kau.edu.sa/en/programs?faculty_code=MR,7,0,7,0,7,complete,Official central catalog and faculty filter reconciled.
علوم التأهيل الطبي,Med. Rehabilitation Sciences,RH,https://kau.edu.sa/en/programs?faculty_code=RH,6,5,1,5,1,complete,Official central catalog and faculty filter reconciled.
معهد الاقتصاد الإسلامي,Institute of Islamic Economics,IE,https://kau.edu.sa/en/programs?faculty_code=IE,1,0,1,0,1,complete,Official central catalog and faculty filter reconciled.
معهد الأميرخالدالفيصل للإعتدال,PNC KHALED AL-FAISAL FOR MOD.,PK,https://kau.edu.sa/en/programs?faculty_code=PK,1,0,1,0,1,complete,Official central catalog and faculty filter reconciled.
معهد اللغة الإنجليزية,English Language Institute,EI,https://kau.edu.sa/en/programs?faculty_code=EI,1,0,1,0,1,complete,Official central catalog and faculty filter reconciled.
معهد اللغة العربية للناطقين بغيرها,معهد اللغة العربية للناطقين بغيرها,AI,https://kau.edu.sa/en/programs?faculty_code=AI,2,0,1,0,2,complete,Official central catalog and faculty filter reconciled.
